,target-0.5_stop-0.5,target-0.5_stop-1.0,target-0.5_stop-1.5,target-0.5_stop-2.0,target-0.5_stop-2.5,target-1.0_stop-0.5,target-1.0_stop-1.0,target-1.0_stop-1.5,target-1.0_stop-2.0,target-1.0_stop-2.5,target-1.5_stop-0.5,target-1.5_stop-1.0,target-1.5_stop-1.5,target-1.5_stop-2.0,target-1.5_stop-2.5,target-2.0_stop-0.5,target-2.0_stop-1.0,target-2.0_stop-1.5,target-2.0_stop-2.0,target-2.0_stop-2.5,target-2.5_stop-0.5,target-2.5_stop-1.0,target-2.5_stop-1.5,target-2.5_stop-2.0,target-2.5_stop-2.5
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin.summary.median,0.00043629224327195934,0.0004320766339781589,0.0004382747179316568,0.0004485343791811886,0.00045238160687056017,0.0016708679703114654,0.0016840431471856587,0.0017404773083513586,0.0018037760365721817,0.001817376552040398,0.00316790515571114,0.0031855556947390454,0.0032173364201576542,0.0033332389498482383,0.003355417892495523,0.004682120337484808,0.004696299199634218,0.00472389830692271,0.004830913943367885,0.0048670256067186,0.006118331386874145,0.006169371610259906,0.006194691140787023,0.0063259642529744885,0.0063357330772669685
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin.summary.thirdQuartile,0.0007987652181468017,0.0007952428136821688,0.0008030032871543132,0.0008259673197878188,0.0008392543675263723,0.0023489446658133944,0.0023871871016902216,0.0024252579171519365,0.002503000920080482,0.002534414358074079,0.004002292537786249,0.004071332697447291,0.004118249937408266,0.00425507964556412,0.004307257137757538,0.005785872611055419,0.005870132134507196,0.0058869441251529556,0.006020260477127822,0.006072901648664589,0.00752748312174235,0.007655991304525369,0.007738572976748213,0.007845378138509754,0.007868020406016073
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin.summary.max,0.009539173106950677,0.009539173106950677,0.009539173106950677,0.009539173106950677,0.009539173106950677,0.012656727430543848,0.012656727430543848,0.012656727430543848,0.012656727430543848,0.012656727430543848,0.01577428175413664,0.01577428175413664,0.01577428175413664,0.01577428175413664,0.01577428175413664,0.014504365420892052,0.014504365420892052,0.014504365420892052,0.017064036095617095,0.017064036095617095,0.014697456774944044,0.018196230205411515,0.018196230205411515,0.018196230205411515,0.018196230205411515
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin.summary.range,0.009539112168961222,0.009539112168961222,0.009539112168961222,0.009539112168961222,0.009539112168961222,0.012656621220182412,0.012656621220182412,0.012656621220182412,0.012656621220182412,0.012656621220182412,0.015283330227186143,0.015323387105550985,0.015323387105550985,0.015627923700463797,0.015755343574273818,0.014032247359941071,0.014032247359941071,0.014032247359941071,0.016591918034666114,0.016591918034666114,0.013085882624304532,0.016584656054772003,0.016584656054772003,0.01689341864007192,0.01699333451840314
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin.positiveCount,1640,2266,2718,3024,3252,1168,1752,2208,2571,2838,834,1320,1727,2064,2342,630,1046,1408,1711,1990,520,885,1194,1472,1732
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin.negativeCount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin.positiveProportion,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin.negativeProportion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin.positiveProportionCI_95.lowerLimit,0.9977531433105469,0.9983711242675781,0.9986457824707031,0.9987831115722656,0.9988670349121094,0.9968452453613281,0.9978981018066406,0.9983329772949219,0.9985694885253906,0.9986991882324219,0.9955863952636719,0.9972114562988281,0.9978675842285156,0.9982109069824219,0.9984245300292969,0.9941596984863281,0.9964790344238281,0.9973869323730469,0.9978446960449219,0.9981498718261719,0.9929313659667969,0.9958381652832031,0.9969139099121094,0.9974937438964844,0.9978752136230469
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin.positiveProportionCI_95.upperLimit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin.negativeProportionCI_95.lowerLimit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin.negativeProportionCI_95.upperLimit,0.002246856689453125,0.001628875732421875,0.001354217529296875,0.001216888427734375,0.001132965087890625,0.003154754638671875,0.002101898193359375,0.001667022705078125,0.001430511474609375,0.001300811767578125,0.004413604736328125,0.002788543701171875,0.002132415771484375,0.001789093017578125,0.001575469970703125,0.005840301513671875,0.003520965576171875,0.002613067626953125,0.002155303955078125,0.001850128173828125,0.007068634033203125,0.004161834716796875,0.003086090087890625,0.002506256103515625,0.002124786376953125
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin.meanCI_95.lowerLimit,0.0005848755542809745,0.0005819891304829515,0.0005862982504670818,0.0006008896903221749,0.0006061130910544156,0.0018101978316503382,0.0018357309033629682,0.0018666349704248954,0.001915507309867622,0.0019314000822827162,0.0032533203864417983,0.0032989143161530725,0.0033350433062506344,0.0034186643842033224,0.00344426414180705,0.004789708889426965,0.004852145244453103,0.004872080980475724,0.004966552235117613,0.004995321599206122,0.00626529693358513,0.00638072698372916,0.00640580757099031,0.006491907689967855,0.006505740833969861
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin.meanCI_95.upperLimit,0.000653530436860643,0.0006377271005034066,0.0006359346444778169,0.0006477245936130785,0.0006509314650431519,0.001950695429205177,0.0019445301442537392,0.0019626300737093094,0.002004569997478766,0.002015826704262416,0.003471768614115119,0.0034669066913732283,0.003479404471053849,0.0035518348567435665,0.0035698354901530804,0.005100117445378906,0.005089923952639102,0.005075079917997603,0.00515346690530503,0.005170546158520472,0.0066750558706630886,0.006696080371027412,0.0066774176582160075,0.0067384629134135,0.006733853963764226
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin_noFee.sortedValues,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin_noFee.summary.mean,0.0018193441818792208,0.0018100075147551872,0.0018112742071931393,0.0018244750059957045,0.0018286952815925628,0.003080714112077077,0.0030904948679283495,0.003115080360334018,0.0031605411910489403,0.003174150238278226,0.004563290956885911,0.00458379291998754,0.004608238650954157,0.004686359871865655,0.004708205273815005,0.0061463620173621645,0.006172862166518473,0.006175570852832064,0.0062621349756652265,0.0062850353639195165,0.007673056692779736,0.007741742333047567,0.007745021018561249,0.007818580509431789,0.007823165866351883
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin_noFee.summary.stdDev,0.0007095114595177545,0.0006770441649275856,0.0006602790704687655,0.0006571496442596225,0.000652121998168584,0.0012252447500506634,0.001161982883321594,0.0011509189636444584,0.0011522701636171098,0.0011475978065158669,0.0016098406182806894,0.0015573701335317917,0.001530768359135523,0.0015438349898148245,0.0015506374134014193,0.00198772853218051,0.0019621326684222088,0.0019436282932037267,0.0019729996857098717,0.0019947102130569057,0.0023843863167953418,0.00239389904472818,0.002395024018191606,0.002414150023073515,0.002422958152452547
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin_noFee.summary.min,0.0011993412966487267,0.0011993412966487267,0.0011993412966487267,0.0011993412966487267,0.0011993412966487267,0.0011993865147263555,0.0011993865147263555,0.0011993865147263555,0.0011993865147263555,0.0011993865147263555,0.0016922614547395022,0.0016521564792623387,0.0016521564792623387,0.0013472542210377285,0.0012196813515816247,0.001670832290739849,0.001670832290739849,0.001670832290739849,0.001670832290739849,0.001670832290739849,0.0028089218530371798,0.0028089218530371798,0.0028089218530371798,0.00250509631006494,0.0024050604606968627
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin_noFee.summary.firstQuartile,0.0013940327492321615,0.0013969488402272225,0.0013966273413417573,0.0014048504224178499,0.0014064144955402147,0.002253674696764302,0.0022998046327733306,0.0023291051134131944,0.002367255469299487,0.002378793416227719,0.0034836665890355285,0.003512864684567966,0.003537477077811554,0.003607143539515266,0.0036256166527905264,0.004787738309290582,0.004802297549339725,0.004812482958764739,0.004865567665819452,0.004872695312035179,0.0059677440409463545,0.005999986553170264,0.006006281822146103,0.006063066050612722,0.006058983255533056
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin_noFee.summary.median,0.0016364026597641352,0.0016327799888398,0.0016373077667683187,0.001648701127441675,0.0016530168493498385,0.0028720217627437143,0.002884361557559059,0.0029408914489902865,0.003002919196362362,0.0030202791454589746,0.004369705591098177,0.004382950658707511,0.004419720380932918,0.004537736889097208,0.004555851588001743,0.0058858941051381595,0.005901475583131071,0.005927979074843513,0.0060374349527054704,0.006068970528135086,0.007318226883917424,0.00737730486604847,0.007396874977219399,0.00752990233980917,0.007537960825095787
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin_noFee.summary.thirdQuartile,0.0019993449772433072,0.001993839842677225,0.002004687901867729,0.0020270327653027,0.002040982509652554,0.003547343658061904,0.003586750416538786,0.003626340614502798,0.00370068767770768,0.003734319267043004,0.00519760649822531,0.0052669187625606125,0.005319550639538482,0.005456367770164954,0.0055114351751412525,0.0069866788544842295,0.007077900954360469,0.0070894046412912325,0.0072268529440573815,0.00727200466354149,0.008726411813783114,0.008865904441973244,0.008943851734919253,0.009052470601725388,0.0090747521074104
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin_noFee.summary.max,0.010751347419266335,0.010751347419266335,0.010751347419266335,0.010751347419266335,0.010751347419266335,0.013872645054034436,0.013872645054034436,0.013872645054034436,0.013872645054034436,0.013872645054034436,0.016993942688802346,0.016993942688802346,0.016993942688802346,0.016993942688802346,0.016993942688802346,0.015686251051008935,0.015686251051008935,0.015686251051008935,0.018285245664673228,0.018285245664673228,0.015879110834378336,0.019418799223068536,0.019418799223068536,0.019418799223068536,0.019418799223068536
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin_noFee.summary.range,0.009552006122617609,0.009552006122617609,0.009552006122617609,0.009552006122617609,0.009552006122617609,0.01267325853930808,0.01267325853930808,0.01267325853930808,0.01267325853930808,0.01267325853930808,0.015301681234062845,0.015341786209540008,0.015341786209540008,0.015646688467764618,0.01577426133722072,0.014015418760269086,0.014015418760269086,0.014015418760269086,0.01661441337393338,0.01661441337393338,0.013070188981341156,0.016609877370031355,0.016609877370031355,0.016913702913003596,0.017013738762371673
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin_noFee.positiveCount,1640,2266,2718,3024,3252,1168,1752,2208,2571,2838,834,1320,1727,2064,2342,630,1046,1408,1711,1990,520,885,1194,1472,1732
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin_noFee.negativeCount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin_noFee.positiveProportion,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin_noFee.negativeProportion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin_noFee.positiveProportionCI_95.lowerLimit,0.9977531433105469,0.9983711242675781,0.9986457824707031,0.9987831115722656,0.9988670349121094,0.9968452453613281,0.9978981018066406,0.9983329772949219,0.9985694885253906,0.9986991882324219,0.9955863952636719,0.9972114562988281,0.9978675842285156,0.9982109069824219,0.9984245300292969,0.9941596984863281,0.9964790344238281,0.9973869323730469,0.9978446960449219,0.9981498718261719,0.9929313659667969,0.9958381652832031,0.9969139099121094,0.9974937438964844,0.9978752136230469
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin_noFee.positiveProportionCI_95.upperLimit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin_noFee.negativeProportionCI_95.lowerLimit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin_noFee.negativeProportionCI_95.upperLimit,0.002246856689453125,0.001628875732421875,0.001354217529296875,0.001216888427734375,0.001132965087890625,0.003154754638671875,0.002101898193359375,0.001667022705078125,0.001430511474609375,0.001300811767578125,0.004413604736328125,0.002788543701171875,0.002132415771484375,0.001789093017578125,0.001575469970703125,0.005840301513671875,0.003520965576171875,0.002613067626953125,0.002155303955078125,0.001850128173828125,0.007068634033203125,0.004161834716796875,0.003086090087890625,0.002506256103515625,0.002124786376953125
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin_noFee.meanCI_95.lowerLimit,0.0017850047139605619,0.0017821307019938474,0.001786450943749123,0.0018010527105355588,0.001806281782933058,0.0030104461270175136,0.003036083611916693,0.0030670737234093724,0.0031160002539811745,0.0031319281620712934,0.0044540322824948185,0.004499777123778023,0.0045360416131068875,0.004619755596981671,0.004645403359169466,0.005991143736757674,0.006053952106672087,0.006074047031444247,0.0061686464991359225,0.006197393956250657,0.007468114669033148,0.0075840210623182944,0.007609169724086483,0.007695251165442562,0.007709054727193217
backtestResult.results.groupedByPriceTargetReached.true.profitInfo.profitMargin_noFee.meanCI_95.upperLimit,0.0018536836497978796,0.001837884327516527,0.0018360974706371554,0.0018478973014558501,0.0018511087802520676,0.00315098209713664,0.003144906123940006,0.0031630869972586635,0.003205082128116706,0.0032163723144851583,0.0046725496312770036,0.004667808716197056,0.004680435688801426,0.0047529641467496395,0.004771007188460545,0.006301580297966655,0.0062917722263648584,0.00627709467421988,0.00635562345219453,0.006372676771588376,0.007877998716526323,0.00789946360377684,0.007880872313036014,0.007941909853421015,0.007937277005510548
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.priceTargetsReached.sortedValues,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.priceTargetsReached.summary.mean,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.priceTargetsReached.summary.stdDev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.priceTargetsReached.summary.min,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.priceTargetsReached.summary.firstQuartile,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.priceTargetsReached.summary.median,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.priceTargetsReached.summary.thirdQuartile,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.priceTargetsReached.summary.max,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.priceTargetsReached.summary.range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.priceTargetsReached.positiveCount,1640,2266,2718,3024,3252,1168,1752,2208,2571,2838,834,1320,1727,2064,2342,630,1046,1408,1711,1990,520,885,1194,1472,1732
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.priceTargetsReached.negativeCount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.priceTargetsReached.positiveProportion,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.priceTargetsReached.negativeProportion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
